(dfm_kan_env) C:\Users\ASUS-WORKSTATION\Desktop\metin\Hasan\src>python resnet50_cifar10_ablation.py
=== [CIFAR-10] COMPREHENSIVE RESNET-50 ABLATION STUDY STARTING ===
Files already downloaded and verified
Files already downloaded and verified

[CIFAR-10] Baseline ResNet50 + KAN Training (Run 1/5)
Downloading: "https://download.pytorch.org/models/resnet50-0676ba61.pth" to C:\Users\ASUS-WORKSTATION/.cache\torch\hub\checkpoints\resnet50-0676ba61.pth
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 97.8M/97.8M [00:09<00:00, 11.0MB/s]
    Epoch [04/20] | Train Loss: 0.1438 - Acc: 95.26% | Val Loss: 0.2180 - Acc: 93.08% | F1: 0.9313
    Epoch [05/20] | Train Loss: 0.1220 - Acc: 96.06% | Val Loss: 0.2186 - Acc: 93.24% | F1: 0.9323
    Epoch [06/20] | Train Loss: 0.1053 - Acc: 96.46% | Val Loss: 0.2223 - Acc: 93.11% | F1: 0.9310
    Epoch [07/20] | Train Loss: 0.0922 - Acc: 96.97% | Val Loss: 0.2097 - Acc: 93.46% | F1: 0.9345
    Epoch [08/20] | Train Loss: 0.0773 - Acc: 97.43% | Val Loss: 0.2230 - Acc: 93.40% | F1: 0.9340
    Epoch [09/20] | Train Loss: 0.0688 - Acc: 97.76% | Val Loss: 0.2345 - Acc: 92.92% | F1: 0.9292
    Epoch [10/20] | Train Loss: 0.0697 - Acc: 97.68% | Val Loss: 0.1795 - Acc: 94.47% | F1: 0.9447
    Epoch [11/20] | Train Loss: 0.0563 - Acc: 98.15% | Val Loss: 0.2270 - Acc: 93.65% | F1: 0.9366
    Epoch [12/20] | Train Loss: 0.0507 - Acc: 98.35% | Val Loss: 0.2332 - Acc: 93.54% | F1: 0.9355
    Epoch [13/20] | Train Loss: 0.0547 - Acc: 98.22% | Val Loss: 0.2392 - Acc: 93.41% | F1: 0.9340
    Epoch [14/20] | Train Loss: 0.0446 - Acc: 98.54% | Val Loss: 0.2297 - Acc: 93.64% | F1: 0.9363
    Epoch [15/20] | Train Loss: 0.0428 - Acc: 98.53% | Val Loss: 0.2298 - Acc: 93.77% | F1: 0.9374
